,CITY,STATE,TEMP (F),Latitude,Longitude
131,Sheridan,WY,45.2,44.7971939,-106.9561791
132,Billings,MT,48.2,45.7832856,-108.5006904
133,Casper,WY,45.4,42.866632,-106.313081
134,Rapid City,SD,47.1,44.0805434,-103.2310149
135,Elko,NV,46.7,40.8324211,-115.7631232
136,Salt Lake City,UT,52.8,40.7607793,-111.8910474
137,Boise,ID,52.5,43.6187102,-116.2146068
138,Great Falls,MT,44.6,47.4941836,-111.2833449
139,Helena,MT,45.5,46.5958056,-112.0270306
140,Missoula,MT,46.0,46.8605189,-114.019501
141,Pendleton,OR,52.3,45.672075,-118.7885967
142,Pocatallo,ID,46.4,42.8713032,-112.4455344
143,Spokane,WA,48.2,47.6587802,-117.4260466
144,Eureka,CA,52.9,40.8020712,-124.1636729
145,Eugene,OR,52.5,44.0520691,-123.0867536
146,Medford,OR,55.6,42.3265152,-122.8755949
147,Olympia,WA,50.5,47.0378741,-122.9006951
148,Portland,OR,54.4,45.5234515,-122.6762071
149,Salem,OR,53.0,44.9428975,-123.0350963
150,Seattle,WA,52.6,47.6062095,-122.3320708
151,Yakima,WA,49.7,46.6020711,-120.5058987
152,Colorado Springs,CO,49.0,38.8338816,-104.8213634
153,Pueblo,CO,52.0,38.2544472,-104.6091409
154,Fresno,CA,64.4,36.7468422,-119.7725868
155,Baltimore,MD,55.1,39.2903848,-76.6121893
156,Cape Hatteras,NC,62.6,35.24804,-75.5393155
157,Atlantic City,NJ,54.5,39.3642834,-74.4229266
158,Washington (Dulles),VA,55.3,38.953381,-77.44771200000001
159,Tallahassee,FL,67.7,30.4382559,-84.28073289999999
160,Cincinnati,KY,54.4,39.1031182,-84.5120196
161,Evansville,IN,56.4,37.9715592,-87.5710898
162,Indianapolis,IN,53.2,39.768403,-86.158068
163,Lexington,KY,55.6,38.0405837,-84.5037164
164,Springfield,IL,53.1,39.78172130000001,-89.6501481
165,Columbus,GA,65.7,32.4609764,-84.9877094
166,Glasgow,MT,43.3,48.1969637,-106.6367127
167,Williston,ND,41.6,48.1469683,-103.6179745
168,Astoria,OR,51.3,46.1878841,-123.8312534
169,Bridgeport,CT,52.5,41.1865478,-73.19517669999999
170,Montpelier,VT,43.3,44.26005929999999,-72.5753869
171,New York (Central Park),NY,55.0,40.7828647,-73.9653551
172,Worchester,MA,47.9,42.2625932,-71.8022934
173,New York (JFK),NY,54.5,40.6413111,-73.77813909999999
174,Rockford,IL,49.3,42.2711311,-89.0939952
175,Pittsburgh,PA,51.4,40.44062479999999,-79.9958864
176,Toledo,OH,50.3,41.6639383,-83.55521200000001
177,Chicago,IL,49.9,41.8781136,-87.6297982
178,Detroit,MI,50.4,42.331427,-83.0457538
179,Grand Rapids,MI,49.1,42.9633599,-85.6680863
180,Dubuque,IA,47.3,42.5005583,-90.66457179999999
181,Waterloo,IA,47.9,42.492786,-92.34257749999999
